ArticleId,ArticleTitle,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
-9222795471790223670,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Google search now provides access to basic healthcare information in India,Learning at the speed of business,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,Man accidentally deletes his entire company with one line of bad code,"Google Showcases Its Cloud Efforts, Determined to Catch Up to Rivals"
-9216926795620865886,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Using Google Analytics with Leadfeeder for B2B Lead Generation,Japanese for dummies,Como são escrita as risadas em japonês? - Suki Desu,How CEOs Can Keep Their Analytics Programs from Being a Waste of Time,"Cultura de Web Analytics e Métricas, o que é? Métricas Boss"
-9194572880052200111,"STEMTera, uma protoboard com Arduino Uno embutido",New Trend Briefing from TrendWatching | AUTONOMANIA!,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Curso mbed na KL25Z - Primeiros passos - Embarcados,Asus ready to take bite of 'Pi' market with Tinker micro PC
-9192549002213406534,Chrome OS now has Material Design for the desktop,"PostgreSQL Bloat: origins, monitoring and managing",How To Avoid Equidistant HSV Colors,Espressif Releases ESP8266-Killer!,Aligning text smartly in CSS,Cello
-9190737901804729417,The Real Product Market Fit,Email Isn't The Thing You're Bad At,Platforms are the real powerhouses in Silicon Valley's business landscape,The Startup Zeitgeist,"Predicting the future, one week at a time",Ingenious Shirt Uses Recognizable Icons to Help Break Language Barriers When Traveling
-9189659052158407108,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Baião de Dois - uma delicia brasileiríssima,SwiftCoders by Garric Nahapetian on iTunes,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,Bolinho de parmesão,5 Ways to Save Time During Research | Viget
-9184137057748005562,Correntistas podem renegociar dívidas com o banco pela internet,Correntistas podem renegociar dívidas com o banco pela internet,Sony Smart Tennis Sensor for Tennis Rackets,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[Course] Gamification - University of Pennsylvania | Coursera,Presenting to the Boss(es) | Pluralsight
-9176143510534135851,Livraria dá adeus a estoque e imprime livros na hora,Salesforce Einstein delivers artificial intelligence across the Salesforce platform,What DeepMind brings to Alphabet,"JPMorgan Software Does in Seconds What Took Lawyers 360,000 Hours",I'm trying my hardest to slow the fuck down - HI MY NAME IS JON,MIT and Microsoft Research made a 'smart' tattoo that remotely controls your phone
-9172673334835262304,Tecnologia para colher mais e o uso do GPS,"contentId
-9153494109165200346    Android N Developer Preview 2, out today! | An...
-9153494109165200346    Android N Developer Preview 2, out today! | An...
Name: title, dtype: object",Sesi oferece curso de LIBRAS com certificação de 40 horas,"Android N Developer Preview 2, out today! | Android Developers Blog",Android Quickstart - Firebase,"ConstraintLayout, Inside and Out: Part 2"
-9171475473795142532,Decentralized Options Exchange Etheropt Uses Automated Ethereum Smart Contract,Lessons from a Google App Engine SRE on how to serve over 100 billion requests per day,Google launches distributed version of its TensorFlow machine learning system,Roupas com Wifi e GPS? Desenvolvedor une tecnologia com o universo têxtil - Startupi,Google shares data center security and design best practices,Calculating and searching 500 billion digits of Pi
